Position,Id,Title,Authors,Published Date,Country,Original Language,Page Range,Word Count,Global Rank,Global Score
352,2062,I Know Why the Caged Bird Sings,Maya Angelou,1969,American,English,200-300,78000,352,713
353,2725,Journey to the West,Wu Cheng'en,1592,Chinese,Chinese,1500-2000,400000,353,712
354,6032,Kolyma Stories,Varlam Shalamov,1954,Russian,Russian,500-600,,354,709
355,2367,History of My Life,Giacomo Casanova,1822,Italian,French,3500-4000,1500000,355,707
356,366,Middlesex,Jeffrey Eugenides,2002,American,English,529,196000,356,706
357,1145,The Things They Carried,Tim O'Brien,1990,American,English,233,62000,357,699
358,5884,The Hollow Man,John Dickson Carr,1935,British,English,247,60000,358,698
359,55,The Man Who Loved Children,Christina Stead,1940,Australian,English,500-600,200000,359,697
360,37,Gravity's Rainbow,Thomas Pynchon,1973,American,English,760-776,305000,360,696
361,1162,A Vindication of the Rights of Woman,Mary Wollstonecraft,1792,British,English,200-300,74921,361,692
362,45,"I, Claudius",Robert Graves,1934,British,English,300-500,100000,362,692
363,2819,Ivanhoe,Sir Walter Scott,1819,British,English,400-600,183858,363,690
364,642,Wolf Hall,Hilary Mantel,2009,British,English,650-700,200000,364,687
365,34,Go Tell it on the Mountain,James Baldwin,1953,American,English,256-320,78500,365,686
366,98,White Noise,Don DeLillo,1985,American,English,300-400,78500,366,686
367,3453,Gormenghast,Mervyn Peake,1950,British,English,400-500,205000,367,686
368,3,American Pastoral,Philip Roth,1997,American,English,423,145000,368,684
369,295,The Good Earth,Pearl S. Buck,1931,American,English,300-400,97000,369,683
370,2344,The Moonstone,Wilkie Collins,1868,British,English,400-500,197790,370,683
371,60,Naked Lunch,William S. Burroughs,1959,American,English,200-250,58950,371,682
372,3269,I Capture the Castle,Dodie Smith,1948,British,English,300-400,143000,372,681
373,714,The Souls of Black Folk,W. E. B. Du Bois,1903,American,English,100-200,85000,373,681
374,1452,Cloud Atlas,David Mitchell,2004,British,English,509-544,172000,374,680
375,433,Do Androids Dream of Electric Sheep?,Philip K. Dick,1968,American,English,210-256,61000,375,676
376,2340,A Fine Balance,Rohinton Mistry,1995,Indian,English,600-750,192000,376,674
377,937,Germinal,Émile Zola,1885,French,French,300-600,196000,377,674
