Rank,Book,Authors,Year,Country,Language
2859,The City of God,Augustine,413,Roman,Latin
2861,Little Dorrit,Charles Dickens,1855,British,English
2868,The Book of Songs,China,-600,Chinese,Classical chinese
2871,The Garden Party And Other Stories,Katherine Mansfield,1922,New Zealand,English
2883,The Cask,Freeman Wills Crofts,1920,British,English
2890,Germania,Cornelius Tacitus,98,Roman,Latin
2892,The 18th Brumaire of Louis Bonaparte,Karl Marx,1852,German,German
2891,The Loyal Subject,Heinrich Mann,1918,German,German
2888,Blue Bird,Maurice Maeterlinck,1908,Belgian,French
2902,Hard Times,Charles Dickens,1854,British,English
2904,Lyrical Ballads,"William Wordsworth, Samuel Taylor Coleridge",1798,British,English
2920,Siebenkäs,Jean Paul,1796,German,German
2920,The Waste Books,Georg Christoph Lichtenberg,1770,German,German
2920,The Treasure Chest,Johann Peter Hebel,1811,German,German
2920,Stories of Adalbert Stifter,Adalbert Stifter,1801,Austrian,German
2920,"Human, All Too Human",Friedrich Nietzsche,1878,German,German
2920,The Son of a Servant,August Strindberg,1886,Swedish,Swedish
2920,My Book House,Olive Beaupré Miller,1920,American,English
2907,The Romance of the Rose,Guillaume (de Lorris),1230,French,Old french
2907,The Twilight of the Idols and The Antichrist,Friedrich Nietzsche,1888,German,German
2907,Letters from an American Farmer,J. Crevecoeur,1782,American,English
2907,The Collected Songs of Cold Mountain,Han Shan,600,Chinese,Classical chinese
2907,"The Tootinameh; Or, Tales of a Parrot","India, Iran",1300,Indian,Persian
2941,The Circular Staircase,Mary Roberts Rinehart,1908,American,English
2920,Perpetual Peace,Immanuel Kant,1795,German,German
2920,Anti Goeze,Gotthold Ephraim Lessing,1778,German,German
2920,The Life Story And Real Adventures Of The Poor Man Of Toggenburg,Ulrich Bräker,1789,Swiss,German
2920,On The Aesthetic Education Of Man,Friedrich Schiller,1794,German,German
2953,Wonderful Adventures of Mrs. Seacole in Many Lands,Mary Seacole,1857,Jamaican,English
2958,The Red Redmaynes,Eden Phillpotts,1922,British,English
2959,Romola,George Eliot,1863,British,English
2960,The Confessions Of Lady Nijo,Lady Nijo,1307,Japanese,Japanese
2962,Odes,John Keats,1820,British,English
2976,The Wild Ass's Skin,Honoré de Balzac,1831,French,French
2992,The Lamplighter,Maria Susanna Cummins,1854,American,English
3019,On the Revolutions of the Heavenly Spheres,Nicolaus Copernicus,1543,Polish,Latin
3024,Abel Sánchez,Miguel de Unamuno,1917,Spanish,Spanish
3031,The Hollow Needle,Maurice Leblanc,1909,French,French
3033,The Promise of American Life,Herbert Croly,1909,American,English
3034,Moonfleet,J. Meade Faulkner,1898,British,English
3034,Nine Unlikely Tales,E. Nesbit,1901,British,English
3034,The Man Who Would Be King,Rudyard Kipling,1888,British,English
3034,The Young Visiters,Daisy Ashford,1919,British,English
3034,Clotel,William Wells Brown,1853,American,English
3034,"Felix Holt, The Radical",George Eliot,1866,French,English
3034,L'argent,Émile Zola,1891,French,French
3034,Love Among The Chickens,P. G. Wodehouse,1906,British,English
3075,The Vampyre,John William Polidori,1819,British,English
3089,The Works Of Thomas Lovell Beddoes,Thomas Lovell Beddoes,1851,British,English
3109,The Great God Pan,Arthur Machen,1894,British,English
3114,Encyclopédie,Denis Diderot,1751,French,French
3118,The Empty House And Other Ghost Stories,Algernon Blackwood,1906,British,English
3118,The Riddle,Walter de la Mare,1923,British,English
3122,The Blazing World,Margaret Cavendish,1666,British,English
3130,Alraune,Hanns Heinz Ewers,1911,German,German
3130,The Room In The Tower,E. F. Benson,1912,British,English
3130,The Listener And Other Stories,Algernon Blackwood,1907,British,English
3143,Autobiography,Benvenuto Cellini,1728,Italian,Italian
3148,Travels in Arabia Deserta,Charles M. Doughty,1888,British,English
3149,Last Poems,A. E. Housman,1922,British,English
3159,The Ordeal Of Richard Feverel,George Meredith,1859,British,English
3165,The Ghost Pirates,William Hope Hodgson,1909,British,English
3165,The Haunters And The Haunted,Edward Bulwer-Lytton,1859,British,English
3165,The Sorcerer's Apprentice,Hanns Heinz Ewers,1910,German,German
3165,Tales Of Wonder,Matthew Lewis,1801,British,English
3183,Platform Sutra,Huineng,713,Chinese,Chinese
3184,The Revenger's Tragedy,Thomas Middleton,1606,British,English
3193,The Blithedale Romance,Nathaniel Hawthorne,1852,American,English
3197,Wandering On The Way,"Zhuangzi, Victor H. Mair",-369,Chinese,Classical chinese
3199,The Löwensköld Ring,Selma Lagerlöf,1925,Swedish,Swedish
3208,"Longsword, Earl Of Salisbury",Thomas Leland,1762,Irish,English
3208,Zofloya,Charlotte Dacre,1806,British,English
3208,The Return,Walter de la Mare,1910,British,English
3215,Tono Bungay,H. G. Wells,1909,British,English
3223,The Merry Adventures of Robin Hood,Howard Pyle,1883,American,English
3235,Heartbreak House,George Bernard Shaw,1919,British,English
3236,Juno And The Paycock,Sean O'Casey,1924,Irish,English
3242,Best Ghost Stories,Sheridan Le Fanu,1923,Irish,English
3242,Beyond The Wall Of Sleep,H. P. Lovecraft,1919,American,English
3242,Dracula's Guest,Bram Stoker,1914,British,English
3242,Wandering Ghosts,F. Marion Crawford,1911,American,English
3242,Tales Of A Traveller,Washington Irving,1824,American,English
3242,Visible And Invisible,E. F. Benson,1923,British,English
3255,The Traveller,Oliver Goldsmith,1764,Irish,English
3264,Six Records Of A Floating Life,Shen Fu,1809,Chinese,Chinese
3268,Reynard the Fox,Unknown,1479,Multiple,Middle dutch
